Province_State,Admin2,UID,iso2,iso3,code3,FIPS,Country_Region,Lat,Long_,Population,Total_deaths_2020,Total_deaths_2021,Total_deaths_2022,Total_deaths_2023
Alabama,Autauga,84001001,US,USA,840,1001.0,US,32.53952745,-86.64408227,55869,48,160,230,232
Alabama,Baldwin,84001003,US,USA,840,1003.0,US,30.72774991,-87.72207058,223234,161,593,719,727
Alabama,Barbour,84001005,US,USA,840,1005.0,US,31.868263,-85.3871286,24686,32,81,103,103
Alabama,Bibb,84001007,US,USA,840,1007.0,US,32.99642064,-87.12511459999996,22394,46,95,108,109
Alabama,Blount,84001009,US,USA,840,1009.0,US,33.98210918,-86.56790593,57826,63,198,260,261
Alabama,Bullock,84001011,US,USA,840,1011.0,US,32.10030533,-85.71265535,10101,22,46,54,54
Alabama,Butler,84001013,US,USA,840,1013.0,US,31.75300095,-86.68057478,19448,45,102,130,132
Alabama,Calhoun,84001015,US,USA,840,1015.0,US,33.77483727,-85.82630386,113605,156,532,665,680
Alabama,Chambers,84001017,US,USA,840,1017.0,US,32.91360079,-85.39072749,33254,63,147,170,172
