Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
Luxembourg,Unknown,49.8153,6.1296,0,0,23,90,110,110,114,124,124,152,321,495,577,637,746,796,815,818,822,830,835,843,875,915,952,991,1036,1064,1078,1094,1109,1123,1129,1145,1162,1178,1210,1215,1220
MS Zaandam,Unknown,0.0,0.0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Madagascar,Unknown,-18.766947,46.869107,0,0,0,0,6,20,106,192,230,244,251,261,281,297,418,643,839,913,943,956,958,963,967,1027,1274,1366,1384,1391,1395,1398,1408,1410,1410,1411,1412,1416,1419,1422,1423
Malawi,Unknown,-13.2543,34.3015,0,0,0,3,4,14,114,175,179,184,185,189,702,1044,1117,1148,1155,1196,1635,2177,2282,2301,2306,2364,2561,2615,2626,2634,2640,2645,2665,2676,2682,2683,2896,2685,2686,2686,2686
Malaysia,Unknown,4.210484,101.975766,0,0,48,103,115,121,125,127,136,263,360,471,760,1135,1272,1506,2796,5170,9024,16664,26335,28912,30425,31487,31978,32749,34983,35547,35676,35765,35969,36232,36374,36475,36684,36853,36942,36958,36967
Maldives,Unknown,3.2028,73.2207,0,0,0,1,5,9,16,28,34,38,46,48,52,62,67,73,160,210,221,226,231,243,250,262,276,297,298,298,299,305,307,308,308,308,311,311,311,311,311
Mali,Unknown,17.570692,-3.996166,0,0,2,26,77,116,124,126,131,136,156,269,330,353,385,484,517,525,532,539,548,563,606,660,714,722,727,732,734,737,739,739,742,742,742,743,743,743,743
Malta,Unknown,35.9375,14.3754,0,0,0,4,9,9,9,12,35,62,137,219,267,315,392,413,419,420,423,441,457,461,468,476,550,605,638,698,721,741,794,801,806,808,809,815,824,827,828
Marshall Islands,Unknown,7.1315,171.1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17
Mauritania,Unknown,21.0079,-10.9408,0,0,1,1,23,129,157,159,161,163,177,347,422,441,449,455,463,489,562,715,775,797,832,866,953,979,982,982,982,983,992,993,995,997,997,997,997,997,997
