Country/Region,Province/State,Lat,Long,Total_deaths_2020-12,Total_deaths_2021-12,Total_deaths_2022-12,Total_deaths_2023-12
Lesotho,Unknown,-29.61,28.2336,6015,144317,255454,49130
Liberia,Unknown,6.428055,-9.429499,16107,61434,107009,20001
Libya,Unknown,26.3351,17.228331,111938,1301431,2319625,437716
Liechtenstein,Unknown,47.14,9.55,1272,21062,30391,6033
Lithuania,Unknown,55.1694,23.8813,59297,1632972,3278851,649116
Luxembourg,Unknown,49.8153,6.1296,43539,283934,393683,82123
MS Zaandam,Unknown,0.0,0.0,550,730,730,136
Madagascar,Unknown,-18.766947,46.869107,36344,269475,501723,96543
Malawi,Unknown,-13.2543,34.3015,29150,557423,964023,182632
Malaysia,Unknown,4.210484,101.975766,49640,4290118,12865504,2511456
Maldives,Unknown,3.2028,73.2207,6298,59641,109488,21148
Mali,Unknown,17.570692,-3.996166,31265,178577,266915,50524
Malta,Unknown,35.9375,14.3754,11597,147046,262564,56047
Marshall Islands,Unknown,7.1315,171.1845,0,0,2307,1156
Mauritania,Unknown,21.0079,-10.9408,34924,213778,357973,67796
Mauritius,Unknown,-20.348404,57.552152,2713,40732,356617,70926
Mexico,Unknown,23.6345,-102.5528,15017707,85243244,118231220,22593018
Micronesia,Unknown,7.4256,150.5508,0,0,6514,4009
Moldova,Unknown,47.4116,28.3699,295184,2234593,4200685,813103
Monaco,Unknown,43.7333,7.4167,833,10863,21078,4483
Mongolia,Unknown,46.8625,103.8467,14,252329,769424,145248
Montenegro,Unknown,42.708678,19.37439,45312,580968,991561,190240
Morocco,Unknown,31.7917,-7.0926,539218,3980187,5860040,1108112
Mozambique,Unknown,-18.665695,35.529562,12401,442257,804217,152023
Namibia,Unknown,-22.9576,18.4904,17821,711197,1471680,277873
Nauru,Unknown,-0.5228,166.9315,0,0,183,68
Nepal,Unknown,28.1667,84.25,128945,2715794,4359550,817354
Netherlands,Aruba,12.5211,-69.9683,4828,42994,80902,19126
Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,270,4907,12715,2780
Netherlands,Curacao,12.1696,-68.99,624,40664,99759,20434
Netherlands,Sint Maarten,18.0425,-63.0548,4947,15890,31302,6126
Netherlands,Unknown,52.1326,5.2913,1809059,6299367,8130375,1563320
New Zealand,Cook Islands,-21.2367,-159.7777,0,0,251,121
New Zealand,Niue,-19.0544,-169.8672,0,0,0,0
New Zealand,Unknown,-40.9006,174.886,6304,10980,433438,168063
Nicaragua,Unknown,12.865416,-85.207229,28007,69663,86513,16660
Niger,Unknown,17.607789,8.081666,17306,71846,112669,21416
Nigeria,Unknown,9.082,8.6753,212680,827562,1147339,214540
North Macedonia,Unknown,41.6086,21.7453,194153,1939359,3374462,655562
Norway,Unknown,60.472,8.4689,72511,289478,1168977,344518
Oman,Unknown,21.512583,55.923255,174416,1074435,1621900,314704
Pakistan,Unknown,30.3753,69.3451,1380284,7759449,11065586,2083545
Palau,Unknown,7.515,134.5825,0,0,2036,612
Panama,Unknown,8.538,-80.7821,451068,2376286,3018129,584383
Papua New Guinea,Unknown,-6.314993,143.95555,966,71657,237312,45530
Paraguay,Unknown,-23.4425,-58.4438,169871,3904744,6898779,1346737
Peru,Unknown,-9.19,-75.0152,15276634,62714056,77869141,14890018
Philippines,Unknown,12.879721,121.774017,1048249,9811505,22026506,4476017
Poland,Unknown,51.9194,19.1451,1422334,24394356,41909868,8074936
Portugal,Unknown,39.3999,-8.2245,615356,6070273,8516181,1768092
Qatar,Unknown,25.3548,51.1839,41312,179203,245999,46638
Romania,Unknown,45.9432,24.9668,1248293,12271936,23820994,4595284
Russia,Unknown,61.52401,105.318756,4952659,56152636,133547624,26330671
